,region,name
1948,New Jersey,Yeshiva Gedolah Tiferes Boruch
1949,New Jersey,Yeshiva Gedolah Zichron Leyma
1950,New York,Yeshiva Karlin Stolin
1951,New York,Yeshiva Kollel Tifereth Elizer
1952,New York,Yeshiva of Far Rockaway Derech Ayson Rabbinical Seminary
1953,New York,Yeshiva of Machzikai Hadas
1954,New York,Yeshiva of Nitra Rabbinical College
1955,New York,Yeshiva of the Telshe Alumni
1956,California,Yeshiva Ohr Elchonon Chabad West Coast Talmudical Seminary
1957,New York,Yeshiva Ohr Yisrael
1958,New York,Yeshiva Shaar Hatorah
1959,New York,Yeshiva Shaarei Torah of Rockland
1960,New York,Yeshiva Sholom Shachna
1961,New Jersey,Yeshiva Toras Chaim
1962,New York,Yeshiva University
1963,New York,Yeshiva Yesoda Hatorah Vetz Chaim
1964,New Jersey,Yeshiva Yesodei Hatorah
1965,New York,Yeshiva Zichron Aryeh
1966,Florida,Yeshivah Gedolah Rabbinical College
1967,New Jersey,Yeshivas Be'er Yitzchok
1968,New Jersey,Yeshivas Emek Hatorah
1969,New York,Yeshivas Maharit D'Satmar
1970,New York,Yeshivas Novominsk
1971,Pennsylvania,Yeshivath Beth Moshe
1972,New York,Yeshivath Viznitz
1973,Nebraska,York College
1974,Pennsylvania,York College of Pennsylvania
1975,Georgia,Young Harris College
1976,Ohio,Youngstown State University
1977,California,Zaytuna College
